RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
4324,G024.5023+00.4836,Rejected ,0.19,1.279,3.93,13.5,,,,,NA,,NULL,MSX,,,
2872,G024.5023+00.4864,Rejected ,0.197,1.551,1.33,5.97,,,,,NA,,NULL,MSX,,,
2955,G024.5038-00.2450,Rejected ,0.093,0.819,0.95,3.41,,,,,NA,,NULL,MSX,,,
2951,G024.5076-00.2222,HII region ,6.86,13.754,15.19,49.7,,,,99,5.4,Kin,21389,MIPS/IGA,5,205.6,
2875,G024.5077+00.4796,Rejected ,0.565,1.058,0.83,3.56,,,,,NA,,NULL,MSX,,,
2906,G024.5189+00.2343,Rejected ,0.115,0.354,0.81,2.91,,,,,NA,,NULL,MSX,,,
2908,G024.5195+00.2045,Rejected?,0.065,0.519,1.25,2.81,,,,,NA,,NULL,MSX,,,
2954,G024.5206-00.2258,YSO?,0.186,1.1,1.13,5.15,14.4,12.9,11.8,,NA,,NULL,MSX,,,
4894,G024.5229+00.2053,Rejected ,0.032,0.401,0.52,3.25,,,,,NA,,NULL,MSX,,,
2957,G024.5423-00.2281,Rejected ,0.529,1.029,1.32,3.63,,,,,NA,,NULL,MSX,,,
2959,G024.5461-00.2308,Diffuse HII region??,0.446,1.066,1.37,3.17,,,,,NA,,NULL,MSX,,,
4902,G024.5584-02.3312,PN??,0.221,-0.573,0.56,6.96,12.6,12.2,11.9,,NA,,NULL,MSX,,,
2910,G024.5814+00.2245,OH/IR star ,3.099,4.666,6.49,6.51,,,,,NA,,NULL,MSX,5,<0.9,
2967,G024.6343-00.3233,YSO ,4.502,6.702,8.78,13.47,15.8,13.3,10,42.8,3,Kin,6811,MIPS/IGA,5,<0.7,
2958,G024.6687-00.1672,Rejected ,1.367,2.697,1.74,4.84,,,,,NA,,NULL,MSX,,,
2979,G024.6691-00.4595,HII region ,0.457,0.705,1,5.53,,,,60.3,11.4,Kin,27353,MIPS/IGA,5,<0.6,
2878,G024.6773+00.5491,Other ,1.081,2.87,7.45,22.96,13.1,12.3,11,,NA,,NULL,MSX,5,78.3,
2956,G024.6778-00.1553,Diffuse HII region ,3.068,12.115,15.45,37.53,,,,,NA,,NULL,MSX,,,
2914,G024.6924+00.2347,OH/IR star ,18.612,28.774,36.83,36.51,17.7,12.4,8.1,,NA,,NULL,MSX,5,<0.8,
2953,G024.7115-00.1258,Diffuse HII region ,2.002,6.841,8.45,21.04,,,,107.5,7.6,Kin,54840,MIPS/IGA,5,<0.5,
2949,G024.7162-00.0389,Rejected ,0.089,0.608,1.4,5.19,,,,,NA,,NULL,MSX,,,
2950,G024.7172-00.1006,Rejected ,0.048,0.226,0.81,3.13,,,,,NA,,NULL,MSX,,,
4336,G024.7242-00.1051,Rejected ,-0.015,0.418,1.4,5.57,,,,,NA,,NULL,MSX,,,
2920,G024.7320+00.1530,YSO ,1.169,1.523,1.74,5.44,,,,108.9,7.7,Kin,11755,MIPS/IGA,5,<0.5,
2922,G024.7357+00.0859,HII region?,0.671,0.998,1.41,3.35,,,,,NA,,NULL,MSX,,,
2926,G024.7386+00.0811,Rejected ,0.037,1.899,3.24,11.04,,,,,NA,,NULL,MSX,,,
2964,G024.7462-00.2070,Diffuse HII region ,0.868,3.262,5.48,24.42,,,,50.4,3.4,Kin,8858,MIPS/IGA,5,<0.3,
2937,G024.7496+00.0657,Diffuse HII region?,0.689,1.73,2.08,6.47,,,,,NA,,NULL,MSX,,,
2883,G024.7832+00.5691,Evolved star?,1.937,3.66,5.03,6.11,13.9,11.6,10.2,111.8,7.6,Kin,12270,MSX,5,<0.7,
2938,G024.7891+00.0846,YSO ,0.407,0.434,0.71,6.43,,,,110.2,7.7,Kin,331760,MSX,,,
2935,G024.7989+00.0969,HII region ,4.799,8.136,8.56,16.12,,,,109.9,7.7,Kin,14962,MIPS/IGA,5,219.5,
2934,G024.8105+00.1051,Rejected ,1.089,2.566,2.03,10.34,,,,,NA,,NULL,MSX,,,
2913,G024.8107+00.3060,Evolved star?,0.084,0.208,0.4,2.77,14.7,12,10.7,102.2,5.48/9.76,,2873.0/9113.3,MSX,5,<0.9,
2940,G024.8125+00.0875,Rejected ,0.04,1.586,3.66,16.97,,,,,NA,,NULL,MSX,,,
2936,G024.8144+00.1021,Diffuse HII region?,0.791,3.6,7.26,29.35,,,,,NA,,NULL,MSX,,,
2930,G024.8172+00.1128,Rejected ,0.222,0.792,2.33,10.31,,,,,NA,,NULL,MSX,,,
2928,G024.8183+00.1161,Rejected ,0.036,1.317,2.72,9.47,,,,,NA,,NULL,MSX,,,
4334,G024.8239+00.0929,Rejected ,-0.024,0.962,2.35,7.78,,,,,NA,,NULL,MSX,,,
2925,G024.8259+00.1291,Rejected ,0.41,1.358,1.03,6.97,,,,,NA,,NULL,MSX,,,
2927,G024.8292+00.1233,Rejected ,0.311,1.799,3.38,15.21,,,,,NA,,NULL,MSX,,,
2923,G024.8313+00.1347,Rejected ,0.708,1.22,0.81,4.57,,,,,NA,,NULL,MSX,,,
2929,G024.8361+00.1247,Rejected ,0.294,1.494,3.03,11.89,,,,,NA,,NULL,MSX,,,
2943,G024.8396+00.0825,Rejected ,0.287,3.744,7.52,16.26,,,,,NA,,NULL,MSX,5,<1.8,
2933,G024.8430+00.1235,Rejected ,0.155,0.81,1.53,6.53,,,,,NA,,NULL,MSX,,,
2942,G024.8478+00.0867,HII region ,1.85,9.89,17.05,49.49,,,,109,7.7,Kin,25509,MSX,5,7.5,
2931,G024.8489+00.1284,Rejected ,0.104,0.724,1.69,7.69,,,,,NA,,NULL,MSX,,,
2932,G024.8547+00.1304,Rejected ,0.054,0.337,0.9,3.03,,,,,NA,,NULL,MSX,,,
4333,G024.8592+00.1337,Rejected ,-0.032,-0.397,0.72,3.53,,,,,NA,,NULL,MSX,,,
4335,G024.8695+00.0995,Rejected ,-0.035,0.384,1.08,4.14,,,,,NA,,NULL,MSX,,,
2921,G024.8743+00.1679,OH/IR star ,1.577,2.85,3.73,4.15,16.3,13.6,11.5,,NA,,NULL,MSX,5,<0.6,
2947,G024.9238+00.0800,HII region ,0.985,1.535,1.78,2.78,,,,44.1,3.1,Kin,899,MSX,5,41.4,
2992,G025.0567-00.3505,OH/IR star ,0.268,1.546,3.86,9.36,15.9,13.1,11.5,,NA,,NULL,MSX,5,<0.8,
2961,G025.1542+00.0598A,OH/IR star ,2.275,5.013,5.97,6.9,15.7,13.6,11.8,,NA,,NULL,MSX,,,
2961,G025.1542+00.0598B,Diffuse HII region?,2.275,5.013,5.97,6.9,,,,,NA,,NULL,MSX,,,
2911,G025.1664+00.5233,Evolved star?,0.661,2.978,5.12,5.81,,,,,NA,,NULL,MSX,,,
2948,G025.2564+00.2472,Evolved star ,0.198,0.617,0.95,3.48,8.9,8.5,8.2,,NA,,NULL,MSX,,,
2944,G025.2750+00.3061,Diffuse HII region ,0.757,1.705,1.23,3.69,,,,,NA,,NULL,MSX,,,
2980,G025.2755-00.1464,Other ,10.901,25.314,22.11,27.86,,,,56,3.61/11.58,,12540.4/129036.9,MSX,5,<0.8,
2945,G025.2795+00.3081,Rejected ,0.341,1.153,2.32,6.93,,,,96.5,5.3,Kin,4277,MIPS/IGA,5,<1.0,
2997,G025.2824-00.3141,Rejected ,0.104,0.832,2.38,6.52,,,,,NA,,NULL,MSX,,,
4340,G025.2857-00.3150,Rejected ,0.1,0.533,1.49,3.7,,,,,NA,,NULL,MSX,,,
2941,G025.2876+00.3161,Diffuse HII region ,0.209,0.759,1.38,4.75,,,,,NA,,NULL,MSX,,,
2998,G025.2909-00.3165,Rejected ,0.066,0.809,2.26,6.46,,,,,NA,,NULL,MSX,,,
2946,G025.2933+00.2855,Rejected ,0.239,0.73,1.32,3.51,,,,,NA,,NULL,MSX,,,
2916,G025.3058+00.5308,HII region ,1.964,3.007,2.22,7.67,,,,113,7.6,Kin,8364,MSX,5,29.9,
4337,G025.3600-00.1452,Rejected ,-0.014,0.618,1.28,5.24,,,,,NA,,NULL,MSX,,,
2989,G025.3631-00.1868,Rejected ,0.968,3.977,4.64,16.28,,,,,NA,,NULL,MSX,,,
4339,G025.3686-00.2012,Rejected ,-0.045,1.747,3.65,9.69,,,,,NA,,NULL,MSX,,,
3001,G025.3719-00.3499,Rejected?,0.178,0.743,0.54,3.22,,,,,NA,,NULL,MSX,,,
2991,G025.3820-00.1813,Diffuse HII region ,62.16,165.82,247.52,1044.3,,,,,NA,,NULL,MSX,,,
3004,G025.3843-00.3575,Rejected ,0.146,0.487,1,2.71,,,,,NA,,NULL,MSX,,,
2970,G025.3953+00.0336A,HII region ,2.287,4.777,7.14,17,,,,-13,16.3,Kin,166229,MIPS/IGA,5,295,
2970,G025.3953+00.0336B,YSO ,2.287,4.777,7.14,17,,,,-13,16.3,Kin,143108,MIPS/IGA,5,<1.7,
4338,G025.3966-00.1701,Rejected ,4.192,4.812,7.32,20.5,,,,,NA,,NULL,MSX,,,
2988,G025.3977-00.1406,HII region ,12.514,38.863,62.48,235.88,,,,94.9,5.2,Kin,84234,MSX,5,2,132.2
2918,G025.3981+00.5617,HII region ,0.971,1.535,2.4,11.87,,,,16.3,13.8,Kin,153462,MIPS/IGA,5,64.1,
2990,G025.3990-00.1688,Rejected ,3.893,9.319,10.89,30.75,,,,,NA,,NULL,MSX,,,
2995,G025.4011-00.2047,Rejected ,0.171,0.943,1.34,5.03,,,,,NA,,NULL,MSX,,,
2975,G025.4018+00.0198A,Evolved star ,1.175,1.694,1.96,3.73,9.3,6.9,5.7,109.4,2.7,Spe,781,MIPS/IGA,5,<1.6,
2975,G025.4018+00.0198B,HII region ,1.175,1.694,1.96,3.73,,,,109.4,2.7,Spe,189,MIPS/IGA,5,89.2,
4897,G025.4099-00.1918,Rejected ,0.153,1.111,0.88,3.23,,,,,NA,,NULL,MSX,,,
2966,G025.4118+00.1052A,YSO ,2.327,3.456,4.7,8.43,17.2,15.7,12.9,95.3,5.2,Kin,9651,MIPS/IGA,8.6,<0.4,
2966,G025.4118+00.1052B,Evolved star ,2.327,3.456,4.7,8.43,17.7,13.3,9,95.3,5.2,Kin,793,MIPS/IGA,8.6,<0.4,
2965,G025.4369+00.1217,Evolved star?,0.91,3.062,4.74,4.89,,,,97.8,5.32/9.85,,4780.3/16387.1,MSX,8.6,<0.4,
2939,G025.4379+00.4168,Evolved star ,5.99,7.294,10.54,14.96,13.9,11.1,8.8,98,5.32/9.85,,14624.1/50132.5,MSX,5,<0.6,
2996,G025.4608-00.2098,HII region ,3.086,3.503,3.32,12.87,,,,118.9,2.7,Spe,2099,MSX,5,<2.1,
3002,G025.4948-00.2879,OH/IR star ,4.091,5.966,8.44,8.04,16.2,15.9,11.4,94.8,5.2/9.97,,7509.0/27603.6,MSX,5,<1.1,
3003,G025.4948-00.2990A,YSO ,1.571,2.523,3.14,8.29,15.9,14.8,11.5,,NA,,NULL,MIPS/IGA,5,<1.0,
3003,G025.4948-00.2990B,HII region ,1.571,2.523,3.14,8.29,,,,,NA,,NULL,MIPS/IGA,5,2.5,
3016,G025.5014-00.5150,OH/IR star ,5.211,7.777,12.9,12.07,,,,,NA,,NULL,MSX,,,
2962,G025.5196+00.2156,Other ,0.932,8.709,14.23,53.11,15.8,13.6,11.6,106,5.65/9.51,,58558.6/165903.3,MSX,5,328.2,
2987,G025.5470-00.0529,Evolved star ,9.096,19.552,24.37,49.05,8.5,5.9,4.5,,NA,,NULL,MSX,,,
2866,G025.6009+01.1444,OH/IR star ,1.498,2.117,2.32,2.91,17.8,14,10.4,,NA,,NULL,MSX,5,<0.6,
2879,G025.6498+01.0491,YSO ,19.474,15.611,26.34,69.72,17.7,15.8,12.2,42.8,3,Kin,40535,MIPS/IGA,9,3.8,
2983,G025.6900+00.0347,Diffuse HII region ,1.365,3.175,3.51,9.38,,,,,NA,,NULL,MSX,,,
2985,G025.6941+00.0302,Rejected ,0.325,4.513,8.6,17.12,,,,,NA,,NULL,MSX,,,
2986,G025.6950+00.0253,Diffuse HII region ,0.461,3.143,6.51,14.98,,,,,NA,,NULL,MSX,,,
2982,G025.7161+00.0486,HII region ,2.254,4.333,7.21,34.38,15.9,13.6,11.6,99.2,9.8,Kin,77825,MIPS/IGA,4.8,15.8,
2981,G025.7244+00.0579,Diffuse HII region ,1.133,1.908,2.07,5.79,,,,,NA,,NULL,MSX,,,
2976,G025.7589+00.1987,Rejected ,0.126,1.523,1.25,8.21,,,,,NA,,NULL,MSX,,,
2977,G025.7597+00.1933,Rejected ,0.144,1.304,1.02,5.11,,,,,NA,,NULL,MSX,,,
2974,G025.7647+00.2087,Diffuse HII region ,0.308,2.962,1.38,8.57,,,,102.4,9.6,Kin,14900,MIPS/IGA,5,<0.9,
2973,G025.7667+00.2160,Rejected ,0.12,2.036,0.9,5.76,,,,,NA,,NULL,MSX,,,
2971,G025.7705+00.2222,Rejected ,0.112,1.973,0.86,5.75,,,,,NA,,NULL,MSX,,,
3006,G025.8015-00.1570,HII region ,2.256,8.548,18.27,68.66,15.1,13.1,10.7,94.5,5.2,Kin,18986,MIPS/IGA,8.6,29.2,
2748,G025.8207+03.3883,OH/IR star ,0.675,1.396,2.7,2.73,16.5,15.3,13.1,,NA,,NULL,MSX,,,
2852,G025.9823+01.4624,Evolved star?,0.174,1.12,1.82,3.39,,,,,NA,,NULL,MSX,,,
2960,G026.0552+00.5421,HII region ,0.455,0.625,1.17,2.91,16.1,13.5,12.1,43.6,12.1,Kin,5410,MIPS/IGA,5,<0.7,
3008,G026.0905-00.0578,HII region ,0.584,1.469,2.16,5.24,,,,28,12.9,Kin,37162,MSX,5,106.4,
3011,G026.1094-00.0944,HII region ,0.578,1.012,1.47,4.93,,,,25.2,13.1,Kin,48823,MIPS/IGA,5,<1.3,
3010,G026.1482-00.0453,Diffuse HII region?,0.881,1.533,2.63,10.36,,,,,NA,,NULL,MSX,,,
2994,G026.2020+00.2262,YSO?,2.46,3.774,4.68,5.96,14.2,10.6,8.3,112.4,7.5,Kin,3625,MIPS/IGA,5,<1.1,
3034,G026.2092-00.5896,OH/IR star ,16.688,28.05,37.28,37.66,15.9,13.3,9.8,18.3,1.5,Kin,3085,MSX,5,<0.6,
3031,G026.2110-00.5137,Proto-PN?,0.355,-0.491,1.25,3.54,12.8,10.3,8.9,,NA,,NULL,MSX,,,
3005,G026.3050+00.1162,Other?,2.706,3.75,6.93,19.68,10.7,9.4,8.2,115.6,7.5,Kin,38593,MSX,5,<1.0,
3013,G026.3176-00.0134,Other ,0.587,4.298,8.57,36.95,13.2,10.1,8.4,102.1,5.5,Kin,38747,MSX,5,19.5,
2881,G026.3819+01.4057A,YSO ,5.85,10.693,19.05,54.98,13.1,10.8,9.1,42.1,2.9,Kin,17498,MIPS/IGA,5,<0.6,
2881,G026.3819+01.4057B,YSO ,5.85,10.693,19.05,54.98,,,,42.1,2.9,Kin,4375,MIPS/IGA,4.8,43.2,
2853,G026.4207+01.6858,YSO ,11.523,23.379,34.52,80.71,14.5,12.8,10,42.2,2.9,Kin,19341,MIPS/IGA,5,<0.6,
3017,G026.4283-00.0439,Evolved star ,5.195,10.797,17.67,17.41,,,,101.9,5.5/9.54,,18190.2/54728.0,MSX,5,0,
3065,G026.4338-01.0774,OH/IR star ,3.565,4.937,6.25,6.87,13.3,12.2,8.7,,NA,,NULL,MSX,5,<0.6,
2848,G026.4488+01.7425A,Other ,8.092,12.141,11.53,43.2,10.6,10.2,9.9,42.3,2.9,Kin,8366,MIPS/IGA,5,<0.7,
2848,G026.4488+01.7425B,HII region ,8.092,12.141,11.53,43.2,,,,42.3,2.9,Kin,10661,MIPS/IGA,5,5.2,
3093,G026.4580-01.7280,PN?,0.5,1.133,1.8,5.15,15.8,14.9,13.4,,NA,,NULL,MSX,5,4.4,
3015,G026.4730+00.0332,HII region??,0.233,1.261,2.16,8.78,12.1,10.9,9.8,,NA,,NULL,MSX,,,
3041,G026.4897-00.5455,Proto-PN?,10.704,12.425,16.67,22.24,15.8,13.9,10.1,69.5,4.2,Kin,5676,MIPS/IGA,5,<0.6,
2963,G026.4958+00.7105A,YSO?,1.022,1.466,1.91,7.41,,,,48.6,11.8,Kin,14858,MIPS/IGA,5,<0.6,
2963,G026.4958+00.7105B,YSO?,1.022,1.466,1.91,7.41,,,,48.6,11.8,Kin,7318,MIPS/IGA,5,<0.6,
4899,G026.5107+00.2824A,HII region ,0.265,-0.538,0.74,8.73,,,,100.2,5.4,Kin,2223,MSX,,,
4899,G026.5107+00.2824B,HII region ,0.265,-0.538,0.74,8.73,,,,100.2,5.4,Kin,2223,MSX,,,
4899,G026.5107+00.2824C,YSO ,0.265,-0.538,0.74,8.73,,,,100.2,5.4,Kin,4445,MSX,,,
3028,G026.5254-00.2667A,YSO ,1.631,1.999,1.86,3.97,14.6,13.2,12.7,105.8,7.5,Kin,8308,MIPS/IGA,5,<1.0,
3028,G026.5254-00.2667B,HII region ,1.631,1.999,1.86,3.97,,,,105.8,7.5,Kin,844,MIPS/IGA,5,<1.0,
4898,G026.5266+00.3803,Diffuse HII region ,0.191,1.836,0.72,3.56,,,,,NA,,NULL,MSX,,,
2972,G026.5436+00.6175,OH/IR star ,155.07,261.39,420.55,445.45,17.1,14.6,8,,NA,,NULL,MSX,,,
2993,G026.5441+00.4148,HII region ,8.291,27.714,36.76,99.74,,,,86.4,4.86/10.17,,85135.4/372803.3,MSX,5,556.3,
3014,G026.5881+00.0926,Diffuse HII region ,0.971,1.74,1.84,5.35,,,,,NA,,NULL,MSX,,,
3019,G026.5972-00.0241,HII region ,1.047,2.463,4.65,11.54,,,,22.9,13.2,Kin,71510,MIPS/IGA,8.6,<0.4,
3027,G026.6085-00.2122,HII region ,1.074,2.413,3.18,13.74,,,,108.2,7.5,Kin,22651,MIPS/IGA,5,201.4,
3018,G026.6441+00.0162,HII region ,4.128,5.131,4.99,9.23,,,,111.1,7.5,Kin,9579,MIPS/IGA,5,11.9,
3043,G026.7065-00.4598,Evolved star ,3.125,5.127,6.01,6.77,15.7,14.3,11.5,,NA,,NULL,MSX,5,<0.6,
4342,G026.9830-00.0719,Rejected ,-0.045,0.6,1.01,3.39,,,,,NA,,NULL,MSX,,,
4343,G027.0981-00.3535,OH/IR star ,0.062,-0.491,2.23,5.98,13.5,12.9,12.4,,NA,,NULL,MSX,,,
3037,G027.1472-00.1431,Evolved star ,0.806,2.412,3.81,3.68,,,,48.4,3.19/11.76,,1293.5/17579.0,MSX,5,<0.9,
3032,G027.1852-00.0812A,YSO ,1.345,3.058,5.22,16.77,,,,25.8,13,Kin,141406,MIPS/IGA,8.6,<0.4,
3032,G027.1852-00.0812B,HII region ,1.345,3.058,5.22,16.77,,,,25.8,13,Kin,141406,MIPS/IGA,5,14.3,
3024,G027.2220+00.1361,HII region ,0.608,1.498,1.27,3.22,,,,112.7,7.5,Kin,10831,MIPS/IGA,5,<0.7,
3023,G027.2629+00.1977,OH/IR star ,25.02,34.003,47.94,47.99,14.4,13.6,12.6,,NA,,NULL,MSX,5,0,
3025,G027.2703+00.1488,HII region ,0.868,1.415,1.43,3.84,,,,31.6,12.6,Kin,41073,MIPS/IGA,5,20.6,
3022,G027.2788+00.2094,Evolved star ,1.655,2.795,3.37,3.53,,,,,NA,,NULL,MSX,5,<0.8,
3026,G027.2804+00.1438,HII region ,1.869,4.911,6.21,20.92,,,,31.4,12.6,Kin,115080,MSX,5,428,
3194,G027.3441-02.1125,PN ,0.465,0.86,2.23,7.91,13,12.7,11.7,,NA,,NULL,MSX,,,
4901,G027.3826-00.3046,Evolved star?,0.162,-0.491,0.64,3.02,13.6,11.1,8.7,,NA,,NULL,MSX,,,
3030,G027.4938+00.1893,Diffuse HII region ,3.154,7.793,8.76,15.58,,,,35.1,12.4,Kin,122393,MIPS/IGA,5,<1.2,
3029,G027.5027+00.1956,Rejected ,1.592,2.773,1.87,4.93,,,,,NA,,NULL,MSX,,,
4341,G027.5140+00.2030,Rejected ,-0.035,-0.589,0.78,2.95,,,,,NA,,NULL,MSX,,,
3035,G027.5618+00.0828,HII region ,0.956,0.819,1.17,4.41,,,,84.6,10.1,Kin,17765,MIPS/IGA,5,162.5,
3082,G027.5762-00.8533,OH/IR star ,0.268,1.138,3.33,18.17,10.3,9.2,8.6,,NA,,NULL,MSX,,,
3020,G027.6555+00.4289,OH/IR star ,2.447,3.314,3.36,4.56,11.2,8.9,7.3,,NA,,NULL,MSX,,,
3061,G027.6594-00.3838,PN ,0.28,-0.491,1.15,2.71,,,,69.5,4.14/10.74,,1604.3/10796.5,MSX,5,10.9,
3045,G027.6672-00.0548,Evolved star ,3.069,4.643,5.58,6,16.9,14.4,11,76.5,4.44/10.43,,4085.4/22544.6,MSX,5,<0.9,
2751,G027.6793+04.2589,PN ,9.57,15.106,18.67,41.81,11.3,10.5,8.9,3.5,0.4,Kin,292,MSX,,,
3012,G027.7021+00.7045,PN ,0.764,-0.661,5.21,7.64,13.2,12.7,11.4,7,0.7,Kin,137,MSX,,,
3044,G027.7571+00.0500,YSO ,2.568,3.587,6.41,10.69,16.7,13,9.3,99.6,5.4,Kin,12922,MIPS/IGA,5,<1.3,
3056,G027.7954-00.2772,YSO ,1.917,2.775,3.29,5.68,16.6,14,10.7,45.9,3.1,Kin,5089,MIPS/IGA,5,<1.0,
2687,G027.8640+05.5660,YSO??,2.932,3.781,4.65,7.32,13.6,10.7,8.6,8.3,0.8,Kin,166,MSX,5,<0.6,
3040,G027.9334+00.2056,HII region ,0.938,1.14,1.68,6.49,,,,42.1,12,Kin,44867,MIPS/IGA,5,54,
3047,G028.0035-00.0109,Young/old star ,4.144,6.101,5.86,8.48,9,6.8,5.6,,NA,,NULL,MSX,,,
3042,G028.0692+00.2513,Evolved star ,1.513,4.946,4.69,4.86,14.9,10.6,8.4,77.1,4.46/10.36,,3339.0/18016.3,MSX,5,<1.2,
3050,G028.1467-00.0040A,YSO ,0.221,0.769,1.78,4.3,,,,98.7,5.4,Kin,5185,MSX,,,
3050,G028.1467-00.0040B,HII region ,0.221,0.769,1.78,4.3,,,,98.7,5.4,Kin,2810,MSX,,,
3054,G028.2007-00.0494A,HII region ,6.085,24.503,46.12,85.58,16.3,15.5,12.2,95.7,5.3,Kin,127084,MIPS/IGA,5,316.5,
3054,G028.2007-00.0494B,HII region ,6.085,24.503,46.12,85.58,,,,95.7,5.3,Kin,14120,MIPS/IGA,5,136.3,
3051,G028.2325+00.0394,YSO ,1.825,2.882,4.61,4.53,17.4,16.7,12,107.1,7.4,Kin,8640,MIPS/IGA,5,<1.5,
3052,G028.2461+00.0134,HII region ,4.44,5.225,5.39,16.63,,,,106.4,7.4,Kin,19661,MIPS/IGA,5,63.2,
3076,G028.2875-00.3639,HII region ,33.666,71.735,117.07,600.89,12.6,9.7,7.3,48.8,11.6,Kin,340827,MSX,15,937,
3078,G028.3041-00.3969,Rejected ,3.173,5.895,3.39,7.85,,,,,NA,,NULL,MSX,,,
3077,G028.3046-00.3871A,YSO ,4.516,16.313,24.12,72.72,14.2,13.6,11,85.5,10,Kin,11027,MIPS/IGA,5,<1.4,
3077,G028.3046-00.3871B,Diffuse HII region ,4.516,16.313,24.12,72.72,,,,85.5,10,Kin,179001,MIPS/IGA,5,<1.4,
3000,G028.3119+01.2195,Evolved star ,0.232,0.611,1.17,4.12,13.3,12.3,11.9,,NA,,NULL,MSX,,,
2999,G028.3199+01.2440,YSO?,0.72,1.217,1.15,4.34,,,,,NA,,NULL,MSX,,,
3046,G028.3271+00.1617,YSO ,0.348,0.648,1.4,2.89,,,,79.7,4.6,Kin,6421,MIPS/IGA,5,<0.9,
3049,G028.3373+00.1189,YSO?,0.372,2.396,5.36,30.23,17.3,15.4,12.8,81,4.6,Kin,7594,MIPS/IGA,5,<1.2,
3080,G028.4024-00.3810,Evolved star ,27.241,36.372,38.36,50.87,14.5,10.7,7.5,,NA,,NULL,MSX,5,<1.5,
2817,G028.5483+03.7649,YSO?,3.637,5.507,7,8.05,17,15.1,11.5,6.7,0.7,Kin,132,MSX,5,<0.6,
2800,G028.5532+03.9958,Young/old star?,0.884,1.913,2.32,3.84,18.3,14.3,11.2,6.6,0.7,Kin,419,MIPS/IGA,5,<0.8,
2832,G028.5644+03.3832,Diffuse HII region?,0.374,-0.63,1.99,25.85,,,,,NA,,NULL,MSX,,,
3085,G028.5973-00.3663,Rejected ,1.046,2.894,3.99,13.79,,,,,NA,,NULL,MSX,,,
3067,G028.6096+00.0170,HII region ,2.889,7.355,9.83,29.67,17.5,13.9,11.7,102,7.4,Kin,34989,MIPS/IGA,5,39.2,
3053,G028.6427+00.1970,Rejected ,0.038,0.276,0.62,3.16,,,,,NA,,NULL,MSX,,,
2816,G028.6477+03.8174,YSO?,0.765,1.389,1.76,2.76,18.3,14.7,11.2,7.2,0.7,Kin,51,MSX,5,<0.6,
4363,G028.6486-01.2225,Evolved star ,0.021,-0.224,0.31,3.13,12.7,11.8,11.2,,NA,,NULL,MSX,,,
3069,G028.6520+00.0271,HII region ,1.318,2.736,3.15,9.55,,,,103.4,7.4,Kin,28564,MSX,5,247.6,
3066,G028.6811+00.0547,Rejected ,0.184,0.69,0.92,4.22,,,,,NA,,NULL,MSX,,,
4346,G028.6867+00.0394,Rejected ,-0.066,0.26,1.03,3.03,,,,,NA,,NULL,MSX,,,
3060,G028.6874+00.1772,HII region ,2.933,4.231,3.25,9.83,,,,83.9,10,Kin,23055,MIPS/IGA,5,81.2,
4345,G028.6894+00.0581,Rejected ,0.068,0.702,0.94,3.86,,,,,NA,,NULL,MSX,,,
3068,G028.6930+00.0493,Rejected ,0.106,1.351,2.32,6.04,,,,,NA,,NULL,MSX,,,
3071,G028.6976+00.0437,Rejected ,0.379,1.762,2.82,7.02,,,,,NA,,NULL,MSX,,,
2984,G028.7008+01.5860,Evolved star ,0.049,-0.2,0.49,3.31,12.8,12.2,11.9,,NA,,NULL,MSX,,,
3070,G028.7014+00.0478,Diffuse HII region ,0.285,1.202,1.2,3.5,,,,,NA,,NULL,MSX,,,
3072,G028.7034+00.0394,Rejected ,0.897,1.752,1.23,3.29,,,,,NA,,NULL,MSX,,,
2829,G028.7610+03.4998,Rejected?,5.961,11.112,6.82,21.95,,,,,NA,,NULL,MSX,,,
2831,G028.7799+03.4978,Other ,27.045,41.732,55.65,78.82,8.7,7.2,6,5.1,0.6,Kin,885,MSX,5,1.3,
3055,G028.7884+00.2418,Diffuse HII region ,1.23,3.093,3.17,8.65,,,,,NA,,NULL,MSX,,,
2834,G028.7888+03.4838A,HII region ,6.532,11.421,14.62,38.35,,,,6.6,0.5,Spe,162,MSX,5,4.6,
2834,G028.7888+03.4838B,HII region ,6.532,11.421,14.62,38.35,11.5,9.2,7.5,6.6,0.5,Spe,162,MSX,5,11.7,
2828,G028.7903+03.5450,YSO ,2.215,3.036,8.41,66.67,8.3,7.5,7.1,,0.5,Spe,564,MSX,,,
3063,G028.7964+00.1697,Rejected ,2.848,8.255,8.57,22.23,,,,,NA,,NULL,MSX,,,
3059,G028.7975+00.2340,Rejected ,0.967,1.542,1,3.76,,,,,NA,,NULL,MSX,,,
2830,G028.7987+03.5103,YSO ,3.537,5.86,9.45,40.8,8.9,8,7.5,6.6,0.5,Spe,345,MSX,,,
4321,G028.8016+03.4684,Rejected ,0.118,1.033,1.18,3.58,,,,,NA,,NULL,MSX,,,
4344,G028.8017+00.2379,Rejected ,-0.014,0.9,2.33,8.52,,,,,NA,,NULL,MSX,,,
3064,G028.8051+00.1721,Diffuse HII region ,3.517,18.641,26.78,50.81,,,,,NA,,NULL,MSX,,,
