#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-02-13T19:12:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c6464a76380	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:V/114&tab:{V/114/msx6_gp}&key:source=V/114/msx6_gp&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/114/msx6_gp
#-order=I
#-out=MSX6C
#-out=RAJ2000
#-out=DEJ2000
#-out=B1
#-out=q_B1
#-out=e_B1
#-out=A
#-out=q_A
#q_A=>= 2
#-out=e_A
#-out=C
#-out=q_C
#-out=e_C
#-out=D
#-out=q_D
#q_D=>= 2
#-out=e_D
#-out=E
#-out=q_E
#q_E=>= 2
#-out=e_E
#Old=Old
#

#RESOURCE=yCat_5114
#Name: V/114
#Title: MSX6C Infrared Point Source Catalog (Egan+ 2003)
#Table	V_114_msx6_gp:
#Name: V/114/msx6_gp
#Title: The complete MSX6C catalogue in the Galactic Plane (|b|<=6{deg})
#Column	MSX6C	(a17)	Name (based on galactic position)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	B1	(E10.3)	Flux density in B1 (4.29um) band (1)	[ucd=phot.mag;em.IR.4-8um]
#Column	q_B1	(I1)	[0,4] Band B1 quality (2)	[ucd=meta.code.qual]
#Column	e_B1	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	A	(E10.3)	Flux density in A (8.28um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_A	(I1)	[0,4] Band A quality (2)	[ucd=meta.code.qual]
#Column	e_A	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	C	(E10.3)	Flux density in C (12.13um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_C	(I1)	[0,4] Band C quality (2)	[ucd=meta.code.qual]
#Column	e_C	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	D	(E10.3)	Flux density in D (14.65um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_D	(I1)	[0,4] Band D quality (2)	[ucd=meta.code.qual]
#Column	e_D	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	E	(E10.3)	Flux density in E (21.34um) band (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	q_E	(I1)	[0,4] Band E quality (2)	[ucd=meta.code.qual]
#Column	e_E	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
MSX6C;RAJ2000;DEJ2000;B1;q_B1;e_B1;A;q_A;e_A;C;q_C;e_C;D;q_D;e_D;E;q_E;e_E
G287.4723-00.6270;161.0493;-59.6241;-8.336e+00;0;     ; 9.564e-01;4;  4.2; 7.492e+00;4;  5.0; 1.806e+01;4;  6.1; 5.019e+01;4;  6.0
G337.9444-00.5098;250.3581;-47.1346;-4.098e+00;0;     ; 2.275e+00;4;  4.1; 2.670e+00;4;  5.4; 1.479e+00;3;  6.7; 4.290e+00;4;  6.3
G007.8027-00.5933;271.3459;-22.4976;-9.316e+00;0;     ; 1.717e+00;4;  4.1; 2.587e+00;4;  5.5; 2.755e+00;4;  6.3; 2.639e+00;2;  6.6
G334.1716-00.6346;246.6282;-49.9915;-8.336e+00;0;     ; 2.024e+00;4;  4.1; 2.795e+00;4;  5.3; 2.673e+00;4;  6.3; 3.009e+00;3;  6.4
G007.3004-00.5031;270.9938;-22.8911;-9.316e+00;0;     ; 1.298e+00;4;  4.1; 2.018e+00;4;  5.0; 1.627e+00;4;  6.1; 1.102e+00;3;  6.4
G311.6050-00.6369;211.7423;-62.2301;-8.336e+00;0;     ; 1.197e+00;4;  4.1; 1.807e+00;4;  5.8; 1.325e+00;3;  6.7; 3.814e+00;4;  6.3
G000.4209-00.5560;267.1975;-28.8643;-3.564e+00;0;     ; 6.460e-01;4;  4.1; 3.714e+00;4;  5.0; 7.440e+00;4;  6.1; 1.771e+01;4;  6.0
G359.3936-00.6122;266.6432;-29.7725;-8.336e+00;0;     ; 1.553e+00;4;  4.1; 2.167e+00;4;  5.6; 3.209e+00;4;  6.2; 3.214e+00;3;  6.4
G359.7432-00.5882;266.8282;-29.4612;-1.897e+00;0;     ; 1.290e+00;4;  4.1; 2.138e+00;4;  5.0; 1.737e+00;4;  6.1; 4.639e+00;4;  6.0
G030.4225-00.5271;282.1842;-02.4736;-9.316e+00;0;     ; 1.060e+00;4;  4.2; 2.562e+00;4;  5.6; 2.013e+00;4;  6.5; 2.142e+00;2;  7.1
G317.4660-00.5252;222.9417;-59.9571;-9.316e+00;0;     ; 1.255e+00;4;  4.1; 2.011e+00;4;  5.7; 1.367e+00;3;  6.8; 3.871e+00;4;  6.3
G024.6773-00.5901;279.6036;-07.6121;-4.098e+00;0;     ; 8.796e-01;4;  4.1; 1.124e+00;4;  5.3; 1.005e+00;4;  6.2; 7.164e-01;2;  6.8
G304.7700-00.5193;196.9578;-63.3327;-9.316e+00;0;     ; 1.123e+00;4;  4.2; 1.739e+00;3;  6.0; 1.408e+00;3;  6.7; 4.971e+00;4;  6.2
G344.4735-00.6380;256.3085;-42.1574;-8.336e+00;0;     ; 1.284e+00;4;  4.1; 1.717e+00;3;  5.9; 1.972e+00;4;  6.4; 2.042e+00;2;  6.9
G289.0571-00.5191;163.9715;-60.2405;-9.316e+00;0;     ; 1.533e+00;4;  4.1; 1.638e+00;3;  6.1; 8.550e-01;2;  7.8; 4.013e+00;4;  6.3
G006.2186-00.5824;270.4883;-23.8716;-9.316e+00;0;     ; 1.350e+00;4;  4.1; 2.092e+00;4;  5.7; 2.324e+00;4;  6.3; 2.961e+00;3;  6.5
G333.6985-00.5033;245.9659;-50.2378;-9.316e+00;0;     ; 1.032e+00;4;  4.2; 3.044e+00;4;  5.3; 5.849e+00;4;  6.1; 1.869e+01;4;  6.0
G045.4551-00.5131;289.1056;+10.8880;-4.098e+00;0;     ; 1.188e+00;4;  4.1; 1.056e+00;4;  5.3; 1.029e+00;4;  6.2; 9.644e-01;3;  6.4
G020.8755-00.6226;277.8589;-11.0017;-3.899e+00;0;     ; 1.282e+00;4;  4.1; 1.677e+00;4;  5.1; 1.268e+00;4;  6.1; 9.592e-01;3;  6.4
G000.4599-00.6368;267.2995;-28.8725;-3.899e+00;0;     ; 1.697e+00;4;  4.1; 2.429e+00;4;  5.0; 1.001e+00;4;  6.2; 1.024e+00;3;  6.4
G316.4718-00.5792;221.1873;-60.4376;-9.316e+00;0;     ; 1.015e+00;4;  4.2; 1.562e+00;3;  6.2; 2.050e+00;4;  6.4; 2.255e+00;2;  6.9
G339.9797-00.5391;252.3121;-45.6095;-9.316e+00;0;     ; 1.130e+00;4;  4.2; 2.710e+00;4;  5.4; 5.826e+00;4;  6.1; 2.160e+01;4;  6.0
G333.0609-00.5060;245.2620;-50.6915;-9.316e+00;0;     ; 6.758e-01;4;  4.3; 2.964e+00;4;  5.4; 5.624e+00;4;  6.1; 1.883e+01;4;  6.0
G332.4683-00.5228;244.6116;-51.1195;-9.316e+00;0;     ; 1.306e+00;4;  4.1; 1.682e+00;3;  6.1; 1.821e+00;4;  6.5; 1.055e+01;4;  6.0
G342.8614-00.5274;254.8461;-43.3649;-9.316e+00;0;     ; 1.458e+00;4;  4.1; 2.148e+00;4;  5.6; 2.477e+00;4;  6.3; 2.985e+00;3;  6.5
G346.4111-00.6340;257.8486;-40.6022;-8.336e+00;0;     ; 8.971e-01;4;  4.2; 1.435e+00;3;  6.2; 1.574e+00;4;  6.5; 2.273e+00;2;  6.7
G025.3994-00.5194;279.8740;-06.9381;-4.098e+00;0;     ; 1.202e+00;4;  4.1; 1.563e+00;4;  5.1; 1.109e+00;4;  6.2; 8.973e-01;3;  6.5
G018.8841-00.5040;276.8076;-12.7108;-9.316e+00;0;     ; 7.555e-01;4;  4.2; 4.257e+00;4;  5.2; 7.313e+00;4;  6.1; 1.781e+01;4;  6.0
G333.0462-00.5643;245.3106;-50.7431;-9.316e+00;0;     ; 1.298e+00;4;  4.2; 1.781e+00;3;  6.1; 2.270e+00;4;  6.4; 7.040e+00;4;  6.1
G021.3104-00.6155;278.0571;-10.6129; 1.735e+01;1; 44.9; 1.085e+00;4;  4.1; 1.381e+00;4;  5.1; 1.252e+00;4;  6.1; 2.320e+00;4;  6.1
G345.2128-00.5411;256.8029;-41.5091;-9.316e+00;0;     ; 1.176e+00;4;  4.2; 1.662e+00;3;  6.1; 1.067e+00;3;  7.1; 2.086e+00;2;  7.0
G359.5973-00.5080;266.6624;-29.5443;-4.098e+00;0;     ; 1.031e+00;4;  4.1; 1.182e+00;4;  5.2; 1.137e+00;4;  6.2; 8.940e-01;3;  6.5
G021.3293-00.6323;278.0811;-10.6038;-3.899e+00;0;     ; 1.098e+00;4;  4.1; 1.594e+00;4;  5.1; 1.273e+00;4;  6.1; 6.886e-01;2;  6.9
G287.2238-00.5339;160.7037;-59.4248; 1.305e+01;1;429.0; 1.204e+00;4;  4.2; 1.691e+00;3;  6.1; 1.515e+00;4;  6.7; 4.356e+00;4;  6.3
G287.3934-00.6117;160.9260;-59.5735;-9.004e+00;0;     ; 2.316e+00;4;  4.1; 8.404e+00;4;  5.0; 1.403e+01;4;  6.1; 2.412e+01;4;  6.0
G304.7592-00.6299;196.9494;-63.4437;-8.336e+00;0;     ; 1.079e+00;4;  4.2; 8.196e-01;1;  9.1; 1.098e+00;2;  7.3; 2.791e+00;2;  6.6
G032.5645-00.5837;283.2116;-00.5931; 1.207e+01;1; 41.9; 1.106e+00;4;  4.1; 1.170e+00;4;  5.2; 8.288e-01;4;  6.3; 6.940e-01;2;  6.9
G013.8438-00.6469;274.4882;-17.2280;-8.336e+00;0;     ; 1.951e+00;4;  4.1; 3.272e+00;4;  5.3; 2.892e+00;4;  6.2; 1.878e+00;2;  7.1
G287.3892-00.6238;160.9073;-59.5823;-8.336e+00;0;     ; 1.124e+00;4;  4.2; 3.819e+00;4;  5.3; 6.476e+00;4;  6.1; 1.370e+01;4;  6.0
G295.1523-00.5890;175.8554;-62.4291;-9.316e+00;0;     ; 9.190e-01;4;  4.2; 2.302e+00;4;  5.6; 3.504e+00;4;  6.2; 1.397e+01;4;  6.0
G014.2166-00.6344;274.6613;-16.8937; 1.473e+01;1; 26.3; 1.378e+00;4;  4.1; 2.296e+00;4;  5.5; 1.793e+00;4;  6.5; 3.081e+00;3;  6.4
G015.1542-00.5707;275.0646;-16.0374;-9.316e+00;0;     ; 8.570e-01;4;  4.2; 2.191e+00;4;  5.8; 1.423e+00;3;  6.9; 2.367e+00;2;  7.0
G297.3931-00.6349;180.5948;-62.9780;-8.336e+00;0;     ; 1.041e+00;4;  4.2; 1.546e+00;3;  6.2; 1.467e+00;3;  6.7; 4.096e+00;4;  6.3
G041.0780-00.6365;287.1635;+06.9520;-8.336e+00;0;     ; 9.636e-01;4;  4.2; 2.490e+00;4;  5.4; 3.711e+00;4;  6.2; 5.158e+00;4;  6.2
G327.2649-00.5539;238.2211;-54.6169;-9.316e+00;0;     ; 1.889e+00;4;  4.1; 2.500e+00;4;  5.5; 1.925e+00;4;  6.5; 9.196e+00;4;  6.1
G006.0952-00.6294;270.4663;-24.0020;-8.336e+00;0;     ; 1.587e+00;4;  4.1; 2.482e+00;4;  5.5; 3.672e+00;4;  6.2; 3.242e+00;3;  6.4
G021.3139-00.5387;277.9895;-10.5743;-4.098e+00;0;     ; 9.420e-01;4;  4.1; 1.023e+00;4;  5.3; 8.918e-01;4;  6.3; 6.000e-01;2;  7.1
G287.4718-00.5389;161.1299;-59.5461;-1.481e+01;0;     ; 1.013e+00;4;  4.2; 4.766e+00;4;  5.1; 8.091e+00;4;  6.1; 1.716e+01;4;  6.0
G287.5513-00.5971;161.2150;-59.6346;-9.316e+00;0;     ; 2.154e+00;4;  4.1; 7.059e+00;4;  5.0; 1.879e+00;4;  6.5; 1.104e+01;4;  6.0
G344.1991-00.5457;255.9845;-42.3196;-9.316e+00;0;     ; 1.057e+00;4;  4.2; 9.006e-01;1;  8.1; 8.999e-01;2;  7.6; 2.390e+00;2;  6.8
G359.5590-00.5588;266.6895;-29.6034;-4.098e+00;0;     ; 1.066e+00;4;  4.1; 1.675e+00;4;  5.1; 1.532e+00;4;  6.1; 1.244e+00;4;  6.3
G308.6511-00.5073;205.4592;-62.8182;-9.316e+00;0;     ; 9.588e-01;4;  4.2; 9.811e-01;2;  7.8; 8.724e-01;2;  7.7; 5.215e+00;4;  6.2
G287.4693-00.5286;161.1351;-59.5358;-9.316e+00;0;     ; 7.676e-01;4;  4.2; 2.300e+00;4;  5.6; 3.374e+00;4;  6.2; 7.715e+00;4;  6.1
G332.3216-00.5628;244.4887;-51.2505;-8.625e+00;0;     ; 1.240e+00;4;  4.1; 4.397e+00;4;  5.1; 6.316e+00;4;  6.1; 1.535e+01;4;  6.0
G289.0436-00.5305;163.9370;-60.2450; 1.599e+01;1; 48.4; 1.369e+00;4;  4.1; 1.749e+00;3;  6.0; 2.026e+00;4;  6.4; 3.280e+00;3;  6.4
G281.6497-00.5856;151.7402;-56.5028;-9.316e+00;0;     ; 9.229e-01;4;  4.2; 1.387e+00;3;  6.5; 1.433e+00;3;  6.7; 2.720e+00;3;  6.6
G327.1316-00.5329;238.0197;-54.6848;-9.316e+00;0;     ; 4.202e-01;4;  4.4; 1.771e+00;3;  6.0; 4.123e+00;4;  6.1; 1.145e+01;4;  6.0
G000.4168-00.5012;267.1414;-28.8395; 9.749e+00;1; 51.1; 1.016e+00;4;  4.1; 1.631e+00;4;  5.1; 5.753e-01;4;  6.4; 8.678e-01;3;  6.5
G000.1656-00.6416;267.1309;-29.1272;-2.921e+00;0;     ; 9.500e-01;4;  4.1; 1.232e+00;4;  5.1; 1.066e+00;4;  6.1; 8.209e-01;3;  6.4
G020.7388-00.5509;277.7297;-11.0898; 1.128e+01;1; 44.4; 1.037e+00;4;  4.1; 1.212e+00;4;  5.2; 1.012e+00;4;  6.2; 6.316e-01;2;  7.0
G332.9952-00.6364;245.3340;-50.8302;-9.863e+00;0;     ; 8.740e-01;4;  4.2; 1.139e+00;2;  6.9; 8.328e-01;2;  7.6; 2.082e+00;2;  6.9
G307.3950-00.5838;202.7669;-63.1118;-9.316e+00;0;     ; 9.512e-01;4;  4.2; 1.525e+00;3;  6.3; 1.700e+00;4;  6.5; 3.463e+00;3;  6.4
G004.0065-00.5724;269.2653;-25.7849;-9.316e+00;0;     ; 1.121e+00;4;  4.2; 1.482e+00;3;  6.3; 1.567e+00;4;  6.6; 1.914e+00;2;  7.1
G327.1358-00.5277;238.0197;-54.6781;-9.766e+00;0;     ; 2.121e-01;4;  5.2; 1.138e+00;2;  7.2; 2.879e+00;4;  6.3; 9.566e+00;4;  6.1
G327.2794-00.5445;238.2302;-54.6004;-1.020e+01;0;     ; 7.707e-01;4;  4.2; 5.619e-01;1; 11.7; 2.763e+00;4;  6.3; 2.113e+01;4;  6.0
G327.8245-00.6479;239.0660;-54.3323;-8.336e+00;0;     ; 1.309e+00;4;  4.1; 1.241e+00;3;  6.6; 1.118e+00;3;  7.0; 6.803e+00;4;  6.1
G349.8247-00.5608;260.3272;-37.7793;-9.316e+00;0;     ; 8.583e-01;4;  4.2; 1.715e+00;3;  6.1; 1.352e+00;3;  6.8; 3.582e+00;3;  6.4
G287.5125-00.6003;161.1443;-59.6193;-1.020e+01;0;     ; 3.706e-01;4;  4.6; 2.467e+00;1;  8.0; 5.348e+00;4;  6.1; 8.557e+00;4;  6.1
G291.6402-00.6049;168.7611;-61.3454;-9.004e+00;0;     ; 5.288e-01;4;  4.4; 2.785e+00;4;  5.5; 5.435e+00;4;  6.1; 1.383e+01;4;  6.0
G282.0598-00.5721;152.3607;-56.7303;-9.316e+00;0;     ; 8.488e-01;4;  4.2; 1.595e+00;3;  6.2; 2.716e+00;4;  6.3; 1.476e+01;4;  6.0
G035.1939-00.5311;284.3643;+01.7707;-9.316e+00;0;     ; 7.939e-01;4;  4.2; 1.377e+00;3;  6.6; 1.459e+00;3;  6.7; 2.571e+00;2;  6.7
G076.4086-00.6159;306.8748;+37.4038;-8.336e+00;0;     ; 2.358e+00;4;  4.1; 3.384e+00;4;  5.2; 1.259e+00;3;  6.8; 4.546e+00;4;  6.2
G291.6978-00.5397;168.9223;-61.3055;-9.316e+00;0;     ; 2.173e+00;4;  4.1; 6.140e+00;4;  5.0; 6.650e+00;4;  6.1; 1.955e+01;4;  6.0
G359.6754-00.6094;266.8086;-29.5301;-2.072e+00;0;     ; 8.257e-01;4;  4.1; 1.074e+00;4;  5.1; 7.744e-01;4;  6.2; 6.963e-01;3;  6.4
G339.8010-00.5443;252.1534;-45.7497;-9.316e+00;0;     ; 1.035e+00;4;  4.2; 1.644e+00;3;  6.1; 1.629e+00;4;  6.6; 2.273e+00;2;  6.8
G298.8676-00.5170;183.8460;-63.1040;-9.316e+00;0;     ; 7.904e-01;4;  4.2; 1.197e+00;2;  7.0; 7.593e-01;2;  8.1; 1.967e+00;2;  7.1
G294.9845-00.5363;175.5360;-62.3342;-9.316e+00;0;     ; 8.629e-01;4;  4.2; 2.015e+00;4;  5.7; 1.240e+00;3;  6.9; 3.226e+00;3;  6.4
G352.8735-00.5153;262.4067;-35.2290;-9.316e+00;0;     ; 8.382e-01;4;  4.2; 1.774e+00;3;  6.0; 4.840e+00;4;  6.1; 1.388e+01;4;  6.0
G000.3616-00.5538;267.1604;-28.9140;-2.255e+00;0;     ; 6.105e-02;4;  4.9; 3.624e-01;3;  6.1; 6.319e-01;4;  6.3; 1.900e+00;4;  6.1
G358.0810-00.6199;265.8568;-30.8960;-8.336e+00;0;     ; 8.814e-01;4;  4.2; 3.547e+00;4;  5.2; 6.534e+00;4;  6.1; 8.014e+00;4;  6.1
G000.4575-00.5772;267.2397;-28.8438;-4.034e+00;0;     ; 6.251e-01;4;  4.1; 8.913e-01;4;  5.4; 6.457e-01;4;  6.4; 1.288e+00;4;  6.3
G078.1216-00.5468;308.0832;+38.8303;-9.316e+00;0;     ; 1.172e+00;4;  4.2; 2.445e+00;4;  5.5; 3.871e+00;4;  6.2; 1.021e+01;4;  6.1
G287.3506-00.5900;160.8715;-59.5342;-9.316e+00;0;     ; 5.592e-01;4;  4.3; 2.031e+00;4;  5.8; 3.960e+00;4;  6.2; 7.910e+00;4;  6.1
G291.5910-00.5984;168.6706;-61.3215;-7.798e+00;0;     ; 1.204e+00;4;  4.2; 3.594e+00;4;  5.3; 5.252e+00;4;  6.1; 9.741e+00;4;  6.1
G328.2918-00.5376;239.5540;-53.9466;-9.316e+00;0;     ; 1.125e+00;4;  4.2; 2.232e+00;4;  5.6; 2.484e+00;4;  6.3; 6.694e+00;4;  6.1
G287.4764-00.5161;161.1590;-59.5281;-9.316e+00;0;     ; 6.000e-01;4;  4.3; 2.443e+00;4;  5.6; 4.299e+00;4;  6.1; 1.072e+01;4;  6.0
G329.3402-00.6436;241.0069;-53.3395;-8.336e+00;0;     ; 6.659e-01;4;  4.2; 9.679e-01;2;  7.5; 1.764e+00;4;  6.5; 3.088e+00;3;  6.4
G291.6786-00.5708;168.8616;-61.3276;-9.316e+00;0;     ; 9.239e-01;4;  4.2; 2.302e+00;4;  5.6; 2.697e+00;4;  6.3; 6.027e+00;4;  6.1
G303.0961-00.5962;193.2272;-63.4676;-9.316e+00;0;     ; 6.633e-01;4;  4.2; 1.186e+00;2;  7.0; 1.077e+00;3;  7.1; 2.017e+00;2;  7.1
G333.0264-00.5186;245.2374;-50.7248;-9.316e+00;0;     ; 1.257e+00;4;  4.2; 1.421e+00;3;  6.8; 9.561e-01;2;  7.8; 2.160e+00;2;  7.1
G349.8135-00.5618;260.3202;-37.7890;-9.316e+00;0;     ; 5.330e-01;4;  4.3; 1.635e+00;3;  6.1; 3.885e+00;4;  6.2; 1.196e+01;4;  6.0
G291.6504-00.6007;168.7841;-61.3453;-9.863e+00;0;     ; 4.327e-01;4;  4.5; 2.425e+00;4;  5.6; 3.727e+00;4;  6.2; 1.205e+01;4;  6.0
G287.7743-00.6351;161.5714;-59.7719;-8.336e+00;0;     ; 3.694e-01;4;  4.6; 1.706e+00;3;  6.2; 3.504e+00;4;  6.2; 1.040e+01;4;  6.1
G287.5945-00.5604;161.3245;-59.6224;-1.318e+01;0;     ; 1.840e+00;4;  4.1; 1.867e+00;3;  6.2; 3.027e+00;4;  6.3; 2.605e+01;4;  6.0
G006.1408-00.6371;270.4982;-23.9662;-8.336e+00;0;     ; 4.042e-01;4;  4.4; 1.214e+00;3;  6.7; 2.895e+00;4;  6.2; 7.575e+00;4;  6.1
G287.4958-00.5775;161.1362;-59.5914;-9.316e+00;0;     ; 1.039e+00;4;  4.2; 3.922e+00;4;  5.2; 9.864e+00;4;  6.1; 1.937e+01;4;  6.0
G043.1569-00.5146;288.0235;+08.8520;-9.316e+00;0;     ; 1.005e+00;4;  4.2; 1.639e+00;3;  6.1; 1.411e+00;3;  6.7; 1.886e+00;2;  7.1
G002.0869-00.6157;268.2228;-27.4637;-8.336e+00;0;     ; 3.429e-01;4;  4.5; 8.874e-01;2;  7.9; 2.865e+00;4;  6.2; 1.139e+01;4;  6.0
G291.5804-00.5373;168.6964;-61.2608;-9.316e+00;0;     ; 1.677e+00;4;  4.1; 9.023e+00;4;  5.0; 1.504e+01;4;  6.1; 4.385e+01;4;  6.0
G307.7359-00.5945;203.5143;-63.0682;-9.316e+00;0;     ; 5.731e-01;4;  4.3; 8.495e-01;1;  8.5; 1.279e+00;3;  6.9; 1.007e+01;4;  6.1
G000.5641-00.6356;267.3595;-28.7825;-4.027e+00;0;     ; 1.599e+00;4;  4.1; 1.723e+00;4;  5.1; 1.339e+00;4;  6.1; 3.212e+00;4;  6.1
G029.6192-00.5984;281.8810;-03.2210;-9.863e+00;0;     ; 5.723e-01;4;  4.3; 9.213e-01;2;  8.1; 8.838e-01;2;  7.7; 2.978e+00;3;  6.5
G354.0002-00.5924;263.2375;-34.3292;-9.316e+00;0;     ; 5.246e-01;4;  4.3; 8.547e-01;1;  8.5; 1.359e+00;3;  6.8; 2.297e+00;2;  6.8
G332.9529-00.5210;245.1576;-50.7782;-9.316e+00;0;     ; 3.130e-01;4;  4.7; 1.459e+00;3;  6.4; 2.665e+00;4;  6.3; 9.462e+00;4;  6.1
G291.6699-00.5244;168.8796;-61.2813;-9.316e+00;0;     ; 1.625e+00;4;  4.1; 4.716e+00;4;  5.1; 6.519e+00;4;  6.1; 7.555e+00;4;  6.1
G332.8832-00.5757;245.1404;-50.8661;-9.316e+00;0;     ; 1.181e+00;4;  4.2; 1.574e+00;3;  6.2; 1.589e+00;4;  6.6; 2.264e+00;2;  6.8
G000.5738-00.5238;267.2558;-28.7167;-4.758e+00;0;     ; 1.761e+00;4;  4.1; 2.293e+00;4;  5.0; 2.764e+00;4;  6.1; 2.718e+00;4;  6.1
G309.3503-00.5860;206.9907;-62.7513;-9.316e+00;0;     ; 4.853e-01;4;  4.4; 1.129e+00;2;  7.2; 2.144e+00;4;  6.4; 8.019e+00;4;  6.1
G350.3642-00.5702;260.7233;-37.3405;-9.316e+00;0;     ; 5.085e-01;4;  4.3; 8.266e-01;1;  8.6; 1.629e+00;4;  6.6; 2.052e+00;2;  7.0
G309.4230-00.6208;207.1625;-62.7694;-8.336e+00;0;     ; 5.938e-01;4;  4.3; 1.418e+00;2;  6.7; 1.144e+00;2;  7.2; 9.787e+00;4;  6.1
G328.2829-00.5578;239.5647;-53.9677;-9.316e+00;0;     ; 1.791e-01;3;  5.6; 1.124e+00;2;  7.2; 2.157e+00;4;  6.4; 6.082e+00;4;  6.1
G332.8049-00.6351;245.1184;-50.9634;-9.863e+00;0;     ; 1.596e-01;3;  5.7; 8.106e-01;1;  8.3; 1.266e+00;3;  6.8; 5.269e+00;4;  6.2
G076.3600-00.6273;306.8509;+37.3576;-9.004e+00;0;     ; 5.818e+00;4;  4.1; 9.967e+00;4;  5.0; 4.904e+00;4;  6.1; 2.318e+01;4;  6.0
G321.1456-00.5271;229.1952;-58.1635;-9.316e+00;0;     ; 1.338e-01;3;  6.5; 8.933e-01;1;  8.2; 1.083e+00;3;  7.1; 5.622e+00;4;  6.2
G291.6676-00.5868;168.8282;-61.3385;-9.316e+00;0;     ; 1.454e+00;4;  4.1; 2.478e+00;4;  5.5; 2.757e+00;4;  6.3; 8.025e+00;4;  6.1
G287.8000-00.6182;161.6323;-59.7688;-8.336e+00;0;     ; 6.905e-01;4;  4.2; 1.133e+00;2;  6.9; 1.132e+00;3;  7.0; 3.461e+00;3;  6.4
G327.1335-00.5545;238.0458;-54.7004;-9.316e+00;0;     ; 2.483e-01;4;  4.9; 1.043e+00;2;  7.4; 3.086e+00;4;  6.2; 7.171e+00;4;  6.1
G021.4572-00.5865;278.0999;-10.4692;-4.098e+00;0;     ; 5.539e-01;4;  4.1; 6.732e-01;4;  5.6; 4.121e-01;3;  6.8; 1.288e+00;4;  6.3
G029.5904-00.6144;281.8821;-03.2539;-8.336e+00;0;     ; 5.712e-01;4;  4.3;-4.328e-01;0;     ; 7.526e-01;2;  7.9; 3.322e+00;3;  6.4
G287.5386-00.6407;161.1524;-59.6673;-8.336e+00;0;     ; 1.578e+00;4;  4.1; 6.156e+00;4;  5.0; 9.572e+00;4;  6.1; 2.956e+01;4;  6.0
G008.9387-00.6111;271.9601;-21.5145;-9.316e+00;0;     ; 4.404e-01;4;  4.4;-4.909e-01;0;     ; 1.128e+00;3;  7.0; 2.210e+00;2;  6.8
G035.0372-00.5032;284.2679;+01.6439;-1.020e+01;0;     ; 1.002e-01;2;  8.0; 1.566e+00;3;  6.2; 2.871e+00;4;  6.3; 4.649e+00;4;  6.2
G287.3760-00.5518;160.9512;-59.5125;-9.316e+00;0;     ; 4.165e-01;4;  4.5; 1.090e+00;2;  7.3; 1.238e+00;3;  6.9; 4.263e+00;4;  6.3
G332.8067-00.6267;245.1111;-50.9562;-9.863e+00;0;     ; 2.685e-01;4;  4.8; 1.218e+00;2;  6.6; 1.247e+00;3;  6.8; 5.095e+00;4;  6.2
G287.4918-00.5627;161.1429;-59.5765;-8.625e+00;0;     ; 3.442e-01;4;  4.6; 1.559e+00;3;  6.2; 4.213e+00;4;  6.1; 9.036e+00;4;  6.1
G287.3536-00.5015;160.9589;-59.4576;-9.316e+00;0;     ; 5.018e-01;4;  4.4; 8.877e-01;1;  8.2; 1.116e+00;3;  7.1; 2.180e+00;2;  6.9
G328.1748-00.6100;239.4821;-54.0775;-9.004e+00;0;     ; 1.616e-01;3;  5.7; 6.508e-01;1;  9.7; 1.083e+00;3;  7.0; 4.784e+00;4;  6.2
G000.0811-00.6154;267.0552;-29.1860;-2.921e+00;0;     ; 4.597e-01;4;  4.1; 9.539e-01;4;  5.2; 9.373e-01;4;  6.1; 7.439e-01;3;  6.4
G283.1391-00.6072;153.9566;-57.3728;-9.316e+00;0;     ; 1.116e-01;2;  7.2; 6.621e-01;1;  9.9; 1.220e+00;3;  6.9; 4.988e+00;4;  6.2
G291.5646-00.6211;168.6021;-61.3330;-8.336e+00;0;     ; 4.565e-01;4;  4.4; 1.419e+00;2;  6.6; 2.271e+00;4;  6.4; 5.493e+00;4;  6.2
